route_id,origin_latitude,origin_longitude,dest_latitude,dest_longitude,duration,distance,route_type,duration_min,route_factor
28,38.70936562349983,-9.216360932375135,38.74529807049948,-9.189411597125408,1461.0,6.954,safest,24.35,1.53032
28,38.70936562349983,-9.216360932375135,38.74529807049948,-9.189411597125408,1360.9,6.587,balanced,22.68166666666667,1.4342266666666668
28,38.70936562349983,-9.216360932375135,38.74529807049948,-9.189411597125408,1360.9,6.587,shortest,22.68166666666667,1.4342266666666668
28,38.70936562349983,-9.216360932375135,38.74529807049948,-9.189411597125408,,6.638,google,24.716666666666665,1.5197066666666663
35,38.71834873524974,-9.216360932375135,38.74529807049948,-9.180428485375495,1482.7,7.117,safest,24.711666666666662,1.5578266666666665
35,38.71834873524974,-9.216360932375135,38.74529807049948,-9.180428485375495,1316.8,6.56,balanced,21.946666666666665,1.4026666666666667
35,38.71834873524974,-9.216360932375135,38.74529807049948,-9.180428485375495,1316.8,6.56,shortest,21.946666666666665,1.4026666666666667
35,38.71834873524974,-9.216360932375135,38.74529807049948,-9.180428485375495,,6.147,google,24.616666666666667,1.4764266666666668
36,38.71834873524974,-9.216360932375135,38.71834873524974,-9.171445373625588,1679.7,7.916,safest,27.995,1.7530800000000002
36,38.71834873524974,-9.216360932375135,38.71834873524974,-9.171445373625588,1513.5,7.268,balanced,25.225,1.59044
36,38.71834873524974,-9.216360932375135,38.71834873524974,-9.171445373625588,1500.8,7.204,shortest,25.01333333333333,1.5768533333333332
36,38.71834873524974,-9.216360932375135,38.71834873524974,-9.171445373625588,,10.339,google,40.03333333333333,2.4284533333333336
42,38.70487406762487,-9.21186937650018,38.74080651462452,-9.184920041250452,1397.2,6.765,safest,23.28666666666667,1.4726666666666668
42,38.70487406762487,-9.21186937650018,38.74080651462452,-9.184920041250452,1336.9,6.369,balanced,22.28166666666667,1.4007866666666668
42,38.70487406762487,-9.21186937650018,38.74080651462452,-9.184920041250452,1336.9,6.369,shortest,22.28166666666667,1.4007866666666668
42,38.70487406762487,-9.21186937650018,38.74080651462452,-9.184920041250452,,6.852,google,28.066666666666663,1.6708266666666665
48,38.713857179374784,-9.21186937650018,38.74978962637444,-9.184920041250452,1782.2,7.724,safest,29.703333333333333,1.8060533333333333
48,38.713857179374784,-9.21186937650018,38.74978962637444,-9.184920041250452,1579.0,6.904,balanced,26.316666666666663,1.6049866666666666
48,38.713857179374784,-9.21186937650018,38.74978962637444,-9.184920041250452,1579.0,6.904,shortest,26.316666666666663,1.6049866666666666
48,38.713857179374784,-9.21186937650018,38.74978962637444,-9.184920041250452,,6.72,google,23.98333333333333,1.4969333333333332
76,38.72733184699965,-9.207377820625226,38.763264293999306,-9.180428485375495,1340.6,6.586,safest,22.34333333333333,1.4206133333333333
76,38.72733184699965,-9.207377820625226,38.763264293999306,-9.180428485375495,1174.2,5.795,balanced,19.57,1.2464
76,38.72733184699965,-9.207377820625226,38.763264293999306,-9.180428485375495,1174.2,5.795,shortest,19.57,1.2464
76,38.72733184699965,-9.207377820625226,38.763264293999306,-9.180428485375495,,5.714,google,23.3,1.38912
79,38.72733184699965,-9.207377820625226,38.72733184699965,-9.162462261875678,1427.1,7.024,safest,23.785,1.5133199999999998
79,38.72733184699965,-9.207377820625226,38.72733184699965,-9.162462261875678,1427.1,7.024,balanced,23.785,1.5133199999999998
79,38.72733184699965,-9.207377820625226,38.72733184699965,-9.162462261875678,1425.6,6.957,shortest,23.76,1.50696
79,38.72733184699965,-9.207377820625226,38.72733184699965,-9.162462261875678,,7.374,google,30.816666666666663,1.8225866666666664
81,38.73182340287461,-9.207377820625226,38.70487406762487,-9.171445373625588,1250.6,5.938,safest,20.84333333333333,1.3087733333333331
81,38.73182340287461,-9.207377820625226,38.70487406762487,-9.171445373625588,1232.8,5.727,balanced,20.546666666666667,1.2800266666666666
81,38.73182340287461,-9.207377820625226,38.70487406762487,-9.171445373625588,1232.8,5.727,shortest,20.546666666666667,1.2800266666666666
81,38.73182340287461,-9.207377820625226,38.70487406762487,-9.171445373625588,,8.723,google,29.216666666666665,1.8665066666666663
91,38.74978962637444,-9.207377820625226,38.74978962637444,-9.162462261875678,1102.1,5.154,safest,18.36833333333333,1.1470533333333333
91,38.74978962637444,-9.207377820625226,38.74978962637444,-9.162462261875678,1011.0,4.894,balanced,16.85,1.06552
91,38.74978962637444,-9.207377820625226,38.74978962637444,-9.162462261875678,1011.0,4.894,shortest,16.85,1.06552
91,38.74978962637444,-9.207377820625226,38.74978962637444,-9.162462261875678,,4.911,google,19.416666666666668,1.1695466666666667
95,38.75428118224939,-9.207377820625226,38.75428118224939,-9.162462261875678,1263.5,6.104,safest,21.058333333333334,1.3306533333333332
95,38.75428118224939,-9.207377820625226,38.75428118224939,-9.162462261875678,1044.4,5.031,balanced,17.40666666666667,1.0987466666666668
95,38.75428118224939,-9.207377820625226,38.75428118224939,-9.162462261875678,1044.4,5.031,shortest,17.40666666666667,1.0987466666666668
95,38.75428118224939,-9.207377820625226,38.75428118224939,-9.162462261875678,,5.555,google,20.866666666666667,1.2790666666666666
100,38.70038251174992,-9.202886264750273,38.73631495874957,-9.175936929500542,1486.3,6.912,safest,24.771666666666665,1.5438266666666665
100,38.70038251174992,-9.202886264750273,38.73631495874957,-9.175936929500542,1332.1,6.158,balanced,22.201666666666664,1.3807066666666667
100,38.70038251174992,-9.202886264750273,38.73631495874957,-9.175936929500542,1332.1,6.158,shortest,22.201666666666664,1.3807066666666667
100,38.70038251174992,-9.202886264750273,38.73631495874957,-9.175936929500542,,8.161,google,35.2,2.06088
102,38.70487406762487,-9.202886264750273,38.74978962637444,-9.202886264750273,1292.5,6.38,safest,21.541666666666668,1.3720666666666663
102,38.70487406762487,-9.202886264750273,38.74978962637444,-9.202886264750273,1292.5,6.38,balanced,21.541666666666668,1.3720666666666663
102,38.70487406762487,-9.202886264750273,38.74978962637444,-9.202886264750273,1292.5,6.38,shortest,21.541666666666668,1.3720666666666663
102,38.70487406762487,-9.202886264750273,38.74978962637444,-9.202886264750273,,7.535,google,29.933333333333334,1.8001333333333334
121,38.72733184699965,-9.202886264750273,38.75428118224939,-9.166953817750631,1514.9,7.302,safest,25.24833333333333,1.5940933333333334
121,38.72733184699965,-9.202886264750273,38.75428118224939,-9.166953817750631,1284.5,6.399,balanced,21.40833333333333,1.3682533333333335
121,38.72733184699965,-9.202886264750273,38.75428118224939,-9.166953817750631,1284.5,6.399,shortest,21.40833333333333,1.3682533333333335
121,38.72733184699965,-9.202886264750273,38.75428118224939,-9.166953817750631,,8.435,google,27.516666666666666,1.7754666666666663
127,38.73631495874957,-9.202886264750273,38.70038251174992,-9.175936929500542,1470.1,6.701,safest,24.501666666666665,1.5161466666666663
127,38.73631495874957,-9.202886264750273,38.70038251174992,-9.175936929500542,1470.1,6.701,balanced,24.501666666666665,1.5161466666666663
127,38.73631495874957,-9.202886264750273,38.70038251174992,-9.175936929500542,1162.3,5.762,shortest,19.371666666666663,1.2358266666666666
127,38.73631495874957,-9.202886264750273,38.70038251174992,-9.175936929500542,,8.0,google,24.15,1.606
136,38.74080651462452,-9.202886264750273,38.74080651462452,-9.157970706000723,1246.2,5.879,safest,20.77,1.30112
136,38.74080651462452,-9.202886264750273,38.74080651462452,-9.157970706000723,1006.5,5.02,balanced,16.775,1.0726
136,38.74080651462452,-9.202886264750273,38.74080651462452,-9.157970706000723,1006.5,5.02,shortest,16.775,1.0726
136,38.74080651462452,-9.202886264750273,38.74080651462452,-9.157970706000723,,5.623,google,18.85,1.20384
149,38.69589095587496,-9.198394708875316,38.74080651462452,-9.198394708875316,1455.7,6.457,safest,24.261666666666667,1.4870266666666665
149,38.69589095587496,-9.198394708875316,38.74080651462452,-9.198394708875316,1387.9,6.119,balanced,23.131666666666668,1.4147866666666666
149,38.69589095587496,-9.198394708875316,38.74080651462452,-9.198394708875316,1387.9,6.119,shortest,23.131666666666668,1.4147866666666666
149,38.69589095587496,-9.198394708875316,38.74080651462452,-9.198394708875316,,6.84,google,31.35,1.8012
160,38.70936562349983,-9.198394708875316,38.73631495874957,-9.162462261875678,1409.6,6.997,safest,23.49333333333333,1.4994933333333331
160,38.70936562349983,-9.198394708875316,38.73631495874957,-9.162462261875678,1285.8,6.364,balanced,21.43,1.36632
160,38.70936562349983,-9.198394708875316,38.73631495874957,-9.162462261875678,1285.8,6.364,shortest,21.43,1.36632
160,38.70936562349983,-9.198394708875316,38.73631495874957,-9.162462261875678,,9.109,google,31.25,1.97872
191,38.74529807049948,-9.198394708875316,38.78123051749913,-9.171445373625588,1133.9,5.46,safest,18.898333333333333,1.1927333333333334
191,38.74529807049948,-9.198394708875316,38.78123051749913,-9.171445373625588,1133.9,5.46,balanced,18.898333333333333,1.1927333333333334
191,38.74529807049948,-9.198394708875316,38.78123051749913,-9.171445373625588,1133.9,5.46,shortest,18.898333333333333,1.1927333333333334
191,38.74529807049948,-9.198394708875316,38.78123051749913,-9.171445373625588,,5.741,google,19.95,1.25728
196,38.74978962637444,-9.198394708875316,38.7228402911247,-9.162462261875678,1442.4,7.1,safest,24.040000000000003,1.5296
196,38.74978962637444,-9.198394708875316,38.7228402911247,-9.162462261875678,1380.0,6.788,balanced,23.0,1.46304
196,38.74978962637444,-9.198394708875316,38.7228402911247,-9.162462261875678,1380.0,6.788,shortest,23.0,1.46304
196,38.74978962637444,-9.198394708875316,38.7228402911247,-9.162462261875678,,6.773,google,28.316666666666663,1.6745066666666664
201,38.75428118224939,-9.198394708875316,38.78123051749913,-9.162462261875678,1315.0,6.355,safest,21.916666666666668,1.385066666666667
201,38.75428118224939,-9.198394708875316,38.78123051749913,-9.162462261875678,1315.0,6.355,balanced,21.916666666666668,1.385066666666667
201,38.75428118224939,-9.198394708875316,38.78123051749913,-9.162462261875678,1315.0,6.355,shortest,21.916666666666668,1.385066666666667
201,38.75428118224939,-9.198394708875316,38.78123051749913,-9.162462261875678,,6.416,google,25.4,1.52928
203,38.75877273812435,-9.198394708875316,38.7228402911247,-9.171445373625588,1605.0,7.696,safest,26.75,1.68568
203,38.75877273812435,-9.198394708875316,38.7228402911247,-9.171445373625588,1430.7,6.846,balanced,23.845,1.50148
203,38.75877273812435,-9.198394708875316,38.7228402911247,-9.171445373625588,1430.7,6.846,shortest,23.845,1.50148
203,38.75877273812435,-9.198394708875316,38.7228402911247,-9.171445373625588,,7.091,google,26.8,1.6392799999999998
205,38.75877273812435,-9.198394708875316,38.78572207337409,-9.162462261875678,1455.6,6.626,safest,24.26,1.50048
205,38.75877273812435,-9.198394708875316,38.78572207337409,-9.162462261875678,1441.2,6.541,balanced,24.02,1.48408
205,38.75877273812435,-9.198394708875316,38.78572207337409,-9.162462261875678,1441.2,6.541,shortest,24.02,1.48408
205,38.75877273812435,-9.198394708875316,38.78572207337409,-9.162462261875678,,7.35,google,29.383333333333333,1.7633333333333332
229,38.71834873524974,-9.19390315300036,38.74529807049948,-9.157970706000723,1651.0,7.251,safest,27.516666666666666,1.6807466666666664
229,38.71834873524974,-9.19390315300036,38.74529807049948,-9.157970706000723,1405.8,6.567,balanced,23.43,1.46256
229,38.71834873524974,-9.19390315300036,38.74529807049948,-9.157970706000723,1405.8,6.567,shortest,23.43,1.46256
229,38.71834873524974,-9.19390315300036,38.74529807049948,-9.157970706000723,,6.609,google,28.766666666666666,1.6793866666666666
237,38.72733184699965,-9.19390315300036,38.72733184699965,-9.148987594250814,1334.9,6.545,safest,22.24833333333333,1.4135333333333335
237,38.72733184699965,-9.19390315300036,38.72733184699965,-9.148987594250814,1211.1,5.912,balanced,20.185,1.28036
237,38.72733184699965,-9.19390315300036,38.72733184699965,-9.148987594250814,1211.1,5.912,shortest,20.185,1.28036
237,38.72733184699965,-9.19390315300036,38.72733184699965,-9.148987594250814,,6.051,google,25.23333333333333,1.4934133333333333
245,38.73631495874957,-9.19390315300036,38.763264293999306,-9.157970706000723,1704.1,8.148,safest,28.401666666666664,1.7879066666666663
245,38.73631495874957,-9.19390315300036,38.763264293999306,-9.157970706000723,1511.7,7.26,balanced,25.195,1.5886
245,38.73631495874957,-9.19390315300036,38.763264293999306,-9.157970706000723,1511.7,7.26,shortest,25.195,1.5886
245,38.73631495874957,-9.19390315300036,38.763264293999306,-9.157970706000723,,6.639,google,26.683333333333334,1.5984533333333333
249,38.74080651462452,-9.19390315300036,38.713857179374784,-9.157970706000723,1561.8,7.311,safest,26.03,1.62608
249,38.74080651462452,-9.19390315300036,38.713857179374784,-9.157970706000723,1465.4,6.968,balanced,24.423333333333336,1.5343733333333334
